Название,Жанр,Режиссер,Страна,Год,IMDB
Атлантик,"боевик,драма,фильм-катастрофа",Эвальд Андре Дюпон,Великобритания,1929,5.2
Марокко,мелодрама,Джозеф фон Штернберг,США,1930,7.0
Арсенал,исторический фильм,Александр Довженко,СССР,1929,7.1
Андалузский пёс,"сюрреализм,авангард",Луис Бунюэль,Франция,6 июня,7.6
Мадам Сатана,"музыкальная,комедия",Сесил Блаунт Демилль,США,1930,6.3
Адрес Ленина,,Владимир Петров,СССР,1929, 
Любовь среди миллионеров,"мелодрама,комедия",Фрэнк Таттл,США,1930,6.0
Лачплесис,экранизация,Александр Рустайкис,Латвия,1930,6.8
Лятиф,драма,Микаил Микаилов,СССР,1930,6.5
Культ тела,мелодрама,Михал Вашиньский,Польша,1930,5.5
Краса жизни,драма,Юлиуш Гардан,Польша,1930, 
Княжеский ночи,"мелодрама, экранизация",Марсель Л’Эрбье,Франция,1930, 
Казённый дом,"драма,триллер",Джордж У. Хилл,США,1930,7.1
Императорский и королевский фельдмаршал,комедия,Карел Ламач,Чехословакия,1930,6.7
Товарный №717,детский,Николай Лебедев,СССР,1931, 
Королевская семья Бродвея,романтическая комедия,Джордж Кьюкор,США,1930,6.1
Иуда,"немое кино,драматический фильм",Евгений Иванов-Барков,СССР,1930, 
Золотой век,"комедия,сюрреализм",Луис Бунюэль,Франция,1930,7.2
Игденбу,драма,Александр Бек-Назаров,СССР,1930, 
"И в дождь, и в зной","комедия,мелодрама",Фрэнк Капра,США,1930,5.5
Земля жаждет,драма,Юлий Райзман,СССР,1930,6.8
Звёздная эскадра,"драма,мелодрама",Леонард Бучковский,Польша,1930, 
Заговор мёртвых,исторический фильм,Семён Тимошенко,СССР,1930, 
Её брачная ночь,"мелодрама,комедия",Фрэнк Таттл,США,1930,7.1
Земля,драма,Александр Довженко,СССР,1930,7.2
Дамы для досуга,мелодрама,Фрэнк Капра,США,1930,6.7
Государственный чиновник,драма,Иван Пырьев,СССР,1930,6.0
Дорога к бесчестию,драматический фильм,Ричард Эйбрих,Германия,1930,7.8
Двадцать два несчастья,"Кинокомедия,сатирический","Сергей Герасимов,Сергей Бартенев",СССР,1930, 
Города и годы,драма,Евгений Червяков,СССР,1930,6.9
Верная флоту,"мелодрама,комедия",Фрэнк Таттл,США,1930,6.3
Ветер с моря,драма,Казимеж Чыньский,Польша,1930, 
Ветер в лицо,драма,", ",СССР,1930, 
В Сибирь,"драма,исторический,мелодрама",Генрик Шаро,Польша,1930,6.6
Большая тропа,"вестерн,мелодрама",Луис Р. Лефлер ,США,1930,7.1
Понятая ошибка,драма,"Владимир Штраус,",СССР,1931, 
Ветер с порогов,драма,Арнольд Кордюм,СССР,1930,7.9
Большая игра,драма,Джек Рэймонд,Великобритания,1930,6.8
Вверх по реке,комедия,Джон Форд,США,1930,5.9
Бодро шагая,"драма,криминальный",Ясудзиро Одзу,Япония,1930,6.4
Без царя в голове,романтическая комедия,Фред Ньюмайер,США,1930,6.2
Анна Кристи,драма,"Кларенс Браун,[1],[2]",США,1930,6.6
Белый дьявол,мелодрама,Александр Волков,Германия,1930,7.4
Ангелы ада,драма,"Говард Хьюз,Эдмунд Гулдинг,Джеймс Уэйл",США,1930,7.3
Альрауне,"фильм ужасов,научно-фантастический фильм,драматический фильм,эротический фильм","Рихард Освальд,[1]",Германия,1930,6.2
Жена фермера,"комедия,мелодрама",Альфред Хичкок,Великобритания,1928,5.8
Дом на Трубной,сатирическая комедия,Борис Барнет,СССР,1928,7.2
Джимми Хиггинс,драма,Георгий Тасин,СССР,1928, 
Дом на вулкане,драма,Амо Бек-Назарян,СССР,1928,7.0
Дом в сугробах,"драма, экранизация",Фридрих Эрмлер,СССР,1928,6.6
Деньги,"драматический фильм,[1],немое кино,[d]","Л’Эрбье, Марсель,[1],[2]",Франция,1928,7.5
Двое робких,комедия,Рене Клер,Франция,1928,6.9
Девочка со спичками,драма,"Жан Ренуар,Жан Тедеско",Франция,1928,7.1
Деревенская невеста,драма,Хэйноскэ Госё,Япония,1928, 
Джанки,драма,Александр Цуцунава,СССР,1928,7.8
Два броневика,революционная драма,Семён Тимошенко,СССР,1928, 
Гонщик,кинокомедия,Тэд Вильде,США,1928,7.6
Власть прессы,комедия,Фрэнк Капра,США,1928,6.4
Ветер,драма,Виктор Шёстрём,США,1928,8.0
В старой Аризоне,"драма,вестерн","Ирвинг Каммингс,Рауль Уолш",США,1928,5.5
Венгерская рапсодия,"драматический фильм,немое кино",Ганнс Шварц,Германия,1928,7.1
Буря,"драма,мелодрама","Сэм Тейлор, , ,, , ",США,1928,6.8
Божественная женщина,мелодрама,Виктор Шёстрём,США,1928,7.0
Берегись женатых мужчин,комедия,Арчи Майо,США,1928, 
Башня,"авангард,документальный фильм",Рене Клер,Франция,1928,6.7
Белый орёл,драма,Яков Протазанов,СССР,1928,6.4
Альрауне,"драма,фантастика",Хенрик Галеен,Германия,1928,6.2
Пресловутый Одинокий волк,"Детективный фильм,Комедия",Д. Росс Ледерман,США,,5.5
 ,музыкальный фильм,", ",СССР,1946,7.2
Эта замечательная жизнь,"Фэнтези,Драма,Трагикомедия",Фрэнк Капра,США,1946,8.6
Я вижу незнакомца,"детективный фильм,кинокомедия,нуар",Фрэнк Лондер,"Великобритания,США",1946,7.0
Шуша,драма,Витторио Де Сика,Италия,1946,8.0
Новый рассвет,мелодрама,Уильям Дитерле,США,1937,6.1
Юмореска,"Мелодрама,Музыкальный фильм",Жан Негулеско,США,1946,7.3
Ничего святого,кинокомедия,Уильям Уэллман,США,1937,6.9
Молодой и невинный,детектив,Альфред Хичкок,Великобритания,1937,6.8
Недотёпа,комедия,Мечислав Кравич,Польша,1937,7.2
Меченая женщина,"криминальная,драма"," , , ",США,1937,7.1
Мир принадлежит нам,комедия,Мартин Фрич,Чехословакия,1937,7.2
Ленин в Октябре,"историко-революционный,биографический фильм",Михаил Ромм,СССР,7 ноября,6.3
Крошка Вилли Винки,"приключения,семейный",Джон Форд,США,1937,6.9
Лёгкая жизнь,эксцентрическая комедия,Митчелл Лейзен,США,1937,7.5
Лавина,фильм-драма,Микио Нарусэ,Япония,,6.8
Крепость тишины,драма,Марсель Л’Эрбье,Франция,1937,6.6
Конец миссис Чейни,"комедийная,драма",", , (в титрах не указана), , (в титрах не указан)",США,1937,6.4
Крейцерова соната,"драма, экранизация",Файт Харлан,Нацистская Германия,1937,7.0
Князёк,комедия, ,Польша,1937,6.8
Колыбельная,неигровое кино,Дзига Вертов,СССР,,6.5
Изучая по опыту. Часть I,фильм-драма,Микио Нарусэ,Япония,,6.6
Кид Галахад,"криминальная,мелодрама",Майкл Кёртис,США,1937,7.2
Я — беглый каторжник,триллер,Мервин Лерой,США,1932,8.2
Шахта Л23,"драма,мелодрама",Леонард Бучковский,Польша,1932, 
Мечтатели,"военный фильм,драма",Давид Марьян,СССР,1934, 
Знахарь,мелодрама, Михал Вашиньский,Польша,,7.0
Шанхайский экспресс,мелодрама,Джозеф фон Штернберг,США,1932,7.3
Изучая по опыту. Часть II,фильм-драма,Микио Нарусэ,Япония,,6.4
Чудовище города,"Криминальная мелодрама,Гангстерский фильм",Чарльз Бребин,США,1932,6.7
Чёрный гусар,исторический фильм,"Герхард Лампрехт,[1]",Германия,1932,6.6
Хижина в хлопчатнике,драма,Майкл Кёртис,США,1932,6.6
ФП-1 не отвечает,"научная фантастика,приключения",Карл Хартль,Германия,1932,6.1
Франкенштейн,"научная фантастика,фильм ужасов",Джеймс Уэйл,США,21 ноября,7.8
Фантомас,"криминальный фильм,[1]","Пал Фейош,Ив Аллегре",Франция,1932,5.7
"Уланы, уланы...","комедийный фильм,[1]","Мечислав Кравич,[2]",Польша,1932, 
Учитель Идеал,комедия,Мартин Фрич,Чехословакия,1932,6.4
Три умницы,"мелодрама,кинокомедия",Уильям Бодайн,США,1932,6.5
Трое в паре,"Криминальная,мелодрама",Мервин Лерой,США,1932,7.1
Три солдата,драма,Александр Иванов,СССР,1932, 
Фанни,"драма, комедия",Марк Аллегре,Франция,1932,7.8
Тарзан — человек-обезьяна,Приключенческий,Вудбридж Стронг Ван Дайк,США,1932,7.0
Уродцы,"фильм ужасов,драма",Тод Браунинг,США,1932,7.8
Убийство на улице Морг,фильм ужасов,Роберт Флори,США,1932,6.3
Тайна Кара-Тау,драма,Александр Дубровский,СССР,1932, 
Стометровка любви,комедия,Михал Вашиньский,Польша,1932, 
Старый тёмный дом,"триллер,фантастика",Джеймс Уэйл,США,1932,7.0
Страстный водопроводчик,кинокомедия,Эдвард Седжвик,США,1932,5.9
Слава мира,политическая драма,", ",СССР,1932, 
Сердце Соломона,драма,"Сергей Герасимов,Михаил Кресин",СССР,1932, 
Родиться-то я родился…,"комедия,драма",Ясудзиро Одзу,Япония,1932,7.9
Распутин и императрица,"историческая,драма",Ричард Болеславский,США,1932,6.5
Плоть,драма,Джон Форд,США,1932,6.5
Песня одной ночи ,музыкальная комедия,Анатоль Литвак,Германское государство,1932,6.9
"Прощай, оружие!","военная,драма",Фрэнк Борзейги,США,1932,6.4
Отсроченный платёж,Криминальная мелодрама,Лотар Мендес,США,1932,6.8
Один час с тобой,кинокомедия,"Эрнст Любич,Джордж Кьюкор",США,1932,7.1
Мяч и сердце,комедия,", ",СССР,1935, 
Остров потерянных душ,"фильм ужасов,[1],научно-фантастический фильм,фильм о монстрах,[d]",Эрл Кентон,США,1932,7.4
Ночной суд,Криминальная мелодрама,В.С. Ван Дайк,США,1932,6.9
Мятеж на «Баунти»,,Фрэнк Ллойд,США,1935,7.6
Мерлюсс,драматический фильм,Марсель Паньоль,Франция,1935,6.9
Ночь на перекрёстке,"драматический фильм,[1],криминальный фильм,[1],[d]",Жан Ренуар,Франция,1932,6.5
Лунный камень,приключенческий фильм," , ",СССР,1935,5.0
Юность командиров,"военный фильм,приключения",Владимир Вайншток,СССР,1939, 
Любовные маневры,"комедия,драма,музыкальный фильм",",",Польша,1935,6.5
Лондонский оборотень,"Фантастика,Фильм ужасов",Стюарт Уолкер,США,1935,6.3
Майское поле,"драматический фильм,биографический фильм",Джоваккино Форцано,Италия,1935,5.1
Лётчики,мелодрама,Юлий Райзман,СССР,1935,7.0
Маленькая мама,комедия,Герман Костерлиц,"Австрия,Королевство Венгрия",1935,6.9
Космический рейс,фантастика,В. Журавлёв,СССР,1935,6.9
Интриган,кинокомедия,"Уринов, Яков Исаакович",СССР,1935,4.6
Игра в любовь,комедия,Аббас Мирза Шарифзаде,"СССР,ЗСФСР",1935,5.9
Китайские моря,"мелодрама,приключения",Тэй Гарнетт,США,1935,6.9
Инженер Гоф,драма,"Рашель Мильман-Криммер,Борис Шпис",СССР,1935, 
Зов предков,"Приключенческий фильм,Драма",Уильям Уэллман,США,1935,6.8
Знак вампира,"Ужасы,Фантастика",Тод Браунинг,США,1935,6.2
Карнавал цветов,"кинообозрение,кино-ревю",Николай Экк,СССР,1935,5.4
Золотое озеро,приключенческий фильм,Владимир Шнейдеров,СССР,1935,5.1
Конец полустанка,комедия,Василий Фёдоров,СССР,1935, 
Жизнь бенгальского улана,военный фильм,Генри Хэтэуэй,США,1935,7.0
Его сиятельство шофёр,комедия,Михал Вашиньский,Польша,1935,6.4
Дэвид Копперфильд,"драматический фильм,[4],[5]",Джордж Кьюкор,США,18 января,7.4
Дьявол - это женщина,драма,Джозеф фон Штернберг,США,1935,6.9
Кейн и Мейбл,кинокомедия,Ллойд Бэкон,США,1936,6.4
Кожаный парад,Музыкальный фильм,Дэвид Батлер,США,1936,6.1
Классный парень,Криминальная мелодрама,Джон Г. Блайстоун,США,1936,6.3
Когда мы снова полюбим,мелодрама,Эдвард Х. Гриффит,США,1936,6.4
Катерина,комедия,Герман Костерлиц,Австрия,1936,7.3
Этюд в багровых тонах,детектив,Эдвин Л. Марин,США,1933,5.6
Ястреб,драматический фильм,"Л’Эрбье, Марсель,[2]",Франция,17 ноября,6.9
Ярмарка штата,комедийная драма,Генри Кинг,США,1933,6.7
Юный гитлеровец Квекс,драма,Ханс Штайнхоф,Германия,12 сентября,5.5
Экстаз,"мелодрама,драма",Густав Махаты,,1933,6.6
Японские девушки в порту,мелодрама,Хироси Симидзу,Япония,1933,6.9
Штурмовик Бранд,политпропаганда,Франц Зайтц,Германия,1933,6.0
Шпион в маске,мелодрама,Мечислав Кравич,Польша,1933,6.6
Шумиха,драма,Фрэнк Ллойд,США,1933,6.6
Шотар и Компания,комедийный фильм,"Жан Ренуар,[1]",Франция,1933,5.7
Частная жизнь Генриха VIII,"фильм-биография,комедия,драма,исторический фильм",Александр Корда,Великобритания,1933,7.0
Утиный суп,фарсовая комедия,Лео Маккэри,США,1933,7.7
Что?! Нет пива?,комедия,Эдвард Седжвик,США,1933,5.6
Ханс Вестмар — один из многих,пропаганда,Франц Венцлер,Третий рейх,1933,5.8
Человек-невидимка,фильм ужасов,Джеймс Уэйл,США,1933,7.6
"Танцовщица из Идзу: Там, где распускаются цветы любви","драма,мелодрама",Хэйноскэ Госё,Япония,1933,6.8
Танго!,"музыкальный фильм,мелодрама",Луис Хосе Молья Барт,Аргентина,1933,6.1
Туннель,"драма,научно-фантастический фильм",Кёртис Бернхардт,Франция,1933,5.6
Танцующая леди,"комедия,мелодрама,мюзикл",Роберт Леонард,США,1933,6.7
Сын Конга,"Приключения,фантастика,боевик,комедия",Эрнест Шодсак,США,1933,5.6
Урок советского языка,,Арташес Ай-Артян,СССР,1941, 
Тайна музея восковых фигур,"фильм ужасов,триллер",Майкл Кёртис,США,1933,6.8
Серенада трёх сердец,романтическая комедия,Эрнст Любич,США,1933,7.4
Скандал в Риме,музыкальная комедия,Фрэнк Таттл,США,1933,6.6
Служебный вход,драматический фильм,Рой Дель Рут,США,1933,7.2
Секреты,вестерн,Фрэнк Борзейги,США,1933,6.5
С тобой мы в разлуке,драма,Микио Нарусэ,Япония,1933,7.1
Ромео и Юлечка,комедия,Ян Новина-Пшибыльский,Польша,1933,5.9
Роковой стакан пива,комедия,Клайд Брукман,США,1933,6.6
Ревизор,"комедия, экранизация",Мартин Фрич,Чехословакия,1933,6.9
Рассвет,"драма,военный",Вернон Севелл,Германия,1933,6.8
Ранняя слава,"драматический фильм,[2]","Лоуелл Шерман,[2],[3]",США,1933,6.4
Рваные башмаки,драма,Маргарита Барская,СССР,1933,6.4
Просперити,Производственная драма,Юрий Желябужский,СССР,1933, 
"Пятница, 13-е",драма,Виктор Сэвилл,Великобритания,1933,6.6
Полковой петух,комедия,Морис Каммаж,Франция,1933,6.7
Прокурор Алиция Горн,драма,", ,Марта Флянтц",Польша,1933,5.1
Подставная девушка,"драма,криминальный",Ясудзиро Одзу,Япония,1933,7.0
Полёт в Рио,"комедия,мелодрама,музыкальный фильм","Торнтон Фриланд,ru",США,1933,6.6
Песнь песней,"драма,мелодрама",Рубен Мамулян,США,1933,6.7
Победа веры,Документальный фильм,Лени Рифеншталь,Германия,1933,6.3
Охотник за фотографиями,Криминальная мелодрама,Ллойд Бэкон,США,1933,7.0
Шок,"Фильм нуар,Триллер,Фильм ужасов",Альфред Веркер,США,1946,6.2
Прокурор,драма,Евгений Иванов-Барков,СССР,1941, 
Одна радость,драма,", ",СССР,1933, 
Она обошлась с ним нечестно,кинокомедия,Лоуэлл Шерман,США,1933,6.3
Чужестранец,"детектив,драма,нуар",Орсон Уэллс,США,1946,7.3
Последняя очередь,,Георгий Тасин,СССР,1941, 
Чёрный ангел,Фильм нуар,Рой Уильям Нил,США,2 августа,6.9
Чёрный орёл,"драматический фильм,[1],[d]","Риккардо Фреда,[1],[2]",Италия,1946,6.1
"Человек, которого я люблю","Фильм нуар,Мелодрама",Рауль Уолш,США,1946,6.7
Окраина,"военный,комедия",Борис Барнет,СССР,1933,7.0
Украденная жизнь,драма,Кёртис Бернхардт,США,1946,7.2
Убийцы среди нас,драма,Вольфганг Штаудте,"Германия,(советская зона)",1946,7.4
Центр нападения,спортивный фильм, ,СССР,1946,5.8
Шпунц,комедийный фильм,"Марсель Паньоль,[1],[2]",Франция,1938,7.4
Храбрость Лесси,"Приключения,драма,семейный фильм",Фред М. Уилкокс,США,1946,6.2
Пур ле мерит,"военный,пропаганда",Карл Риттер,Германия,,6.4
Этторе Фиерамоска,драма,Алесса́ндро Блазе́тти,Италия,1938,6.0
Школа свинга,"мелодрама,мюзикл,комедия",Рауль Уолш,США,1938,6.0
Четверо мужчин и помощница,приключения,Джон Форд,США,1938,6.1
Я была авантюристкой,комедийный фильм,Раймон Бернар,Франция,1938,6.5
Три незнакомца,Фильм нуар,Жан Негулеско,США,1946,7.0
Утро семьи Осонэ,Фильм-драма,Кэйсукэ Киносита,Япония,,6.9
Человек-зверь,драма,Жан Ренуар,Франция,1938,7.5
Человек с ружьём,историко-революционный,Сергей Юткевич,СССР,1938,6.3
Четверо — это банда,комедия,Майкл Кёртис,США,1938,6.3
Честь,детектив,Евгений Червяков,СССР,1938,4.6
Флориан,"мелодрама,военный фильм",Леонард Бучковский,Польша,1938,4.5
Утренний патруль,"драма,военный",Эдмунд Гулдинг,США,1938,7.5
Уроки литературы,драма,Кадзиро Ямамото,Япония,,6.9
Удивительный доктор Клиттерхаус,комедия,Анатоль Литвак,США,1938,7.0
Ты и я,Криминальная мелодрама,Фриц Ланг,США,1 июня,6.8
Трудный возраст,"музыкальная,комедия",Эдвард Людвиг,США,1938,6.6
Северный отель,драма,Марсель Карне,Франция,1938,7.5
Семья Оппенгейм,Драма/Семейная хроника,Григорий Рошаль,СССР,1938,6.3
Сексуальное безумие,"пропагандистский,драма",[en],США,1938,2.8
Святой в Нью-Йорке,"Криминальный фильм,Комедия",Бен Холмс,США,1938,6.3
Руслан и Людмила,"киноэпопея,сказка","Иван Никитченко,Виктор Невежин",СССР,1938,6.8
Сорочинская ярмарка,"комедия,музыкальная комедия",Николай Экк,СССР,,6.5
С собой не унесёшь,"комедия,мелодрама",Фрэнк Капра,США,1938,7.8
Счастливое тринадцатое,комедийный фильм,Marian Czauski,Польша,7 апреля,6.1
Разгром рэкета,"Криминальная мелодрама,Гангстерский фильм",Лью Лэндерс,США,1938,6.0
Развод леди Икс,комедия,Тим Уэлан,Великобритания,1938,6.6
Роберт и Бертран,комедия,Мечислав Кравич,Польша,1938,6.8
Рена,мелодрама,Михал Вашиньский,Польша,1938,5.7
Путешествие Флэша Гордона на Марс,"научная фантастика,космическая опера",", ,[en]",США,1938,6.9
Профессор Вильчур,мелодрама,Михал Вашиньский,Польша,,7.4
Приключения Тома Сойера,"детский,приключенческий фильм",Норман Таурог,США,1938,7.1
Профессор Мамлок,Драма," , ",СССР,1938,6.9
Приключения Робин Гуда,"боевик,приключенческий фильм,мелодрама","Майкл Кёртис,Уильям Кейли",США,14 мая,7.9
Под западными звёздами,вестерн,Джозеф Кэйн,США,20 апреля,5.8
Победа,Исторический, ,СССР,1938,7.5
Пётр Первый,"киноэпопея,[1],исторический,биография",Владимир Петров,СССР,,7.2
Олимпия,"документальный фильм,спорт",Лени Рифеншталь,Германский рейх,1938,7.7
Письмо к матери,Драма,"Йозеф Грин,Леон Трыстан","Польша,США",1938,7.0
Пигмалион,"комедия, экранизация","Энтони Асквит,Лесли Говард",Великобритания,1938,7.7
Павел и Гавел,комедия,Мечислав Кравич,Польша,1938,7.0
Зелёный свет,мелодрама,Фрэнк Борзейги,США,1937,6.1
За советскую родину,драма,", ",СССР,1937,5.5
Звезда родилась,драма,Уильям Уэллман,США,1937,7.3
Штурмовые ночи,немое кино,Иван Кавалеридзе,СССР,1931, 
Жизнь Эмиля Золя,драма,Уильям Дитерле,США,1937,7.2
Чудесная девушка,"драма,мелодрама",Фрэнк Капра,США,1931,7.2
Эрроусмит,драма,Джон Форд,США,1931,6.2
Чёрный кофе,детектив,Лесли Хискотт,Великобритания,1931,6.7
Чёрный верблюд,"Детективный фильм,Комедия",Хэмилтон Макфэдден,США,,6.6
Чемпион,драма,Кинг Видор,США,1931,7.2
Умные деньги,Криминальная мелодрама,Альфред Э. Грин,США,1931,6.8
Ураган,Агитпропфильм,Владимир Вайншток,СССР,1931, 
Улыбающийся лейтенант,"романтическая комедия,музыкальный фильм,[1]","Эрнст Любич,[1],[2]",США,1931,7.2
Торговец Хорн,приключенческий фильм,В.С. Ван Дайк,США,1931,6.1
"Тарис, король воды","спорт, документальный",Жан Виго,Франция,1931,6.7
Токийский хор,"комедия,драма",Ясудзиро Одзу,Япония,1931,7.1
Украденные драгоценности,комедия,"[en], и ещё 5 режиссёров, не указанных в титрах",США,1931,5.7
Трёхгрошовая опера,мюзикл,Георг Вильгельм Пабст,Германия,1931,7.2
Томми,драма,Яков Протазанов,СССР,1931,6.5
Табу,драма,Фридрих Вильгельм Мурнау,США,1931,7.4
Сука,драма,Жан Ренуар,Франция,1931,7.5
Соседка и жена,лирическая комедия,Хэйноскэ Госё,Япония,1931,6.2
Сорок сердец,"документальный, политпросвет, мультипликация, экспериментальный, немое кино",Лев Кулешов,СССР,1931,6.7
Королева была в гостиной,пьеса,,,24 августа, 
Снайпер (Искусство убивать),военный фильм,Семён Тимошенко,СССР,1931,5.8
Собака Баскервилей,"криминальный фильм,«мистери»",Гарет Гандри,Великобритания,1931,6.2
Симаррон,"драма,вестерн","Уэсли Рагглз,[1],[2],[…]",США,9 февраля,5.8
Измена,драма,Юрий Винокуров,СССР,1933, 
Скиппи,кинокомедия,Норман Таурог,США,1931,6.3
Свободу нам!,комедия,Рене Клер,Франция,1931,7.4
Секретная шестёрка,драма,Джордж У. Хилл,США,1931,6.3
Ребёнку дают слабительное,Комедия,"Жан Ренуар,[1]",Франция,1931,6.0
Работы на реке Дору,документальный,Мануэл де Оливейра,Португалия,,7.2
Свенгали,"фильм ужасов,фантастика,драма",Арчи Майо,США,1931,6.8
Предел,"драматический фильм,немое кино",Марио Пейшоту,Бразилия,1931,7.0
Пять последних звёзд,Криминальная драма,Мервин Лерой,США,1931,7.3
Свет мира / Красота мира,драма,[en],Британская Индия,1931,7.2
Путёвка в жизнь,драма,Николай Экк,СССР,1931,6.9
Преданность,мелодрама,Роберт Милтон,США,1931,6.2
Плохая девчонка,"драма,мелодрама",Фрэнк Борзейги,США,1931,6.4
Плохая сестра,драма,Хобарт Хенли,,1931,6.1
Платиновая блондинка,комедия,Фрэнк Капра,США,1931,6.8
Номер семнадцать,"детектив,триллер",Альфред Хичкок,Великобритания,1932,5.7
Нежная улыбка,романтический фильм,"Сидни Франклин,[1],[2]",США,1932,6.9
Неприятности в раю,комедия,Эрнст Любич,США,1932,7.9
Недозволенное,"драма,мелодрама",Фрэнк Капра,США,1932,6.9
Ножки за миллион долларов,комедия,Эдвард Клайн,США,1932,6.8
,,,,, 
,фольклор,Ярагудипати Варада Рао,Индия,1934,8.8
Штурмовой батальон 1917,драма,"Людвиг Шмид-Вильди, ",Германия,1934,6.7
Это случилось однажды ночью,"романтическая комедия,роуд-муви,комедия о возобновлении брака",Фрэнк Капра,США,1934,8.1
Мумия,"фильм ужасов,драма",Карл Фройнд,США,1932,7.0
Мистер Робинзон Крузо,"комедия,приключения",А. Эдвард Сазерленд,США,1932,5.6
Называй её дикой,драма,Джон Фрэнсис Диллон,США,1932,7.0
Четыре визита Самюэля Вульфа,драма,Александр Столпер,СССР,1934, 
Частная жизнь Петра Виноградова,молодёжная лирическая комедия,Александр Мачерет,СССР,1934,6.7
Чем мой муж занят ночью?,комедия,Михал Вашиньский,Польша,1934,6.3
Чарли Чан в Лондоне,Детективный фильм,Юджин Форд,США,,6.9
Частная жизнь Дон Жуана,"драматический фильм,[1],романтический фильм,[1]","Александр Корда,[1]",Великобритания,1934,6.3
Тонкий человек,"комедийный,детектив",В. С. Ван Дайк,США,1934,7.9
Чёрный кот,"Фильм ужасов,Фантастика",Эдгар Улмер,США,1934,6.9
Чапаев,"приключенческий фильм,исторический,драма,фильм-биография",Братья Васильевы,СССР,1934,7.1
Тарзан и его подруга,приключения," , ",США,1934,7.2
Три песни о Ленине,"документальный,пропагандистский",Дзига Вертов,СССР,1934,6.5
Счастье,мелодрама,"Л’Эрбье, Марсель",Франция,15 сентября,7.0
Счастье,"комедия,сказка",Александр Медведкин,СССР,1934,7.3
Сердца эпохи,немое кино,Орсон Уэллс,США,1934,5.4
Старая гвардия,"драма,пропагандистский",Алессандро Блазетти,Италия,1934,5.9
Судья Прист,"драма,мелодрама,кинокомедия",Джон Форд,США,1934,6.2
Смерть лорда Эджвера,детектив,Генри Эдвардс,Великобритания,1934,6.0
Сёстры-близнецы,драма,Чжэн Чжэнцю,Китайская Республика,,6.2
Романы Челлини,драматический фильм,"Грегори Ла Кава,[1],[2]",США,1934,6.0
Секрет фирмы,"комедия, экранизация",Владимир Шмидтгоф,СССР,1934, 
Распутная императрица,"историческая,драма,мелодрама",Джозеф фон Штернберг,США,1934,7.5
Разбудите Леночку!,комедия,Антонина Кудрявцева,СССР,1934,6.0
Разрисованная вуаль,"драма,любовная история",Ричард Болеславский,США,1934,6.5
Разве Люцина девушка?,комедия,Юлиуш Гардан,Польша,1934,6.8
Потерянный патруль,"военный фильм,приключенческий фильм",Джон Форд,США,1934,6.8
Пышка,драма,Михаил Ромм,СССР,1934,7.4
Последний миллиардер,комедия,Рене Клер,Франция,1934,6.1
Принцесса на тридцать дней,романтическая комедия,Марион Геринг,США,1934,6.7
Поручик Киже,исторический фильм,Александр Файнциммер,СССР,1934,6.5
Порочная женщина,"романтический фильм,драматический фильм",Чарлз Брейбин,США,1934,6.5
Полночь. Смертельный приговор,Криминальная мелодрама,Честер Эрскин,США,1934,5.5
Преступление без страсти,Криминальная мелодрама,"Бен Хект,Чарльз Макартур",США,1934,7.1
Петербургская ночь,"Драма,семейный", ,СССР,,5.8
Песня рыбаков,драма,Цай Чушэн,Китайская Республика,1934,6.3
Петер,"комедия,музыкальный фильм",Герман Костерлиц,"США,Венгрия,Австрия",1934,7.3
Певец Варшавы,комедия,Михал Вашиньский,Польша,1934,6.5
Отверженные,драма,Раймон Бернар,Франция,1934,8.3
Остров сокровищ,приключения,Виктор Флеминг,США,1934,7.1
Ответный ход Бульдога Драммонда,"Детектив,Комедия",Рой Дель Рут,США,,6.9
Наследный принц Республики,немое кино,Эдуард Иогансон,СССР,1934,6.7
Московские ночи,драма,Алексе́й Миха́йлович Грано́вский,Франция,1934,5.8
Одна ночь любви,мелодрама,Виктор Шерзингер,США,,5.6
Молодой лес,драма,Юзеф Лейтес,Польша,1934,5.7
Марионетки,кинокомедия,",, (сорежиссёр)",СССР,1934,6.3
Дуэль,"сатира,романтика","Шпиковский, Николай Григорьевич",СССР,1935, 
Дивный сад,комедия,Лазарь Френкель,СССР,1935,6.3
Джульбарс,приключенческий фильм,Владимир Шнейдеров,СССР,1935,5.9
Маньяк,"научно-фантастический,фильм ужасов",[en],США,1934,3.7
Джимены,Криминальная мелодрама,Уильям Кейли,США,1935,7.1
Дело о счастливых ножках,"Детективный фильм,Комедия",Арчи Майо,США,,6.5
Дело о любопытной новобрачной,"фильм-тайна,драматический фильм","Майкл Кёртис,[1]",США,1935,6.6
Дам миллион,комедия,Марио Камерини,Италия,1935,6.9
Девдас,драма,П. Баруа,Британская Индия,1935,6.9
Ворон,"Фантастика,фильм ужасов",Лью Лэндерс,США,1935,6.8
Это было в Донбассе,"военный фильм,исторический фильм","Леонид Луков,Владимир Сухобоков",СССР,,5.9
Любовь к людям,фильм-драма,Нобору Накамура,Япония,, 
"Я знаю, куда я иду!","мелодрама,комедия,[1]", ,Великобритания,1945,7.4
Героическая кермесса,Романтическая комедия,Жак Фейдер,Франция,1935,7.4
Гибель сенсации,фантастика,Александр Андриевский,СССР,1935,6.6
Горячие денёчки,"комедия,мелодрама",",,сорежиссёр",СССР,1935,6.0
Эбботт и Костелло в Голливуде,комедия,С. Силвэн Саймон,США,1945,6.3
