Название,Жанр,Режиссер,Страна,Год,IMDB
Казимир Великий,"исторический,фильм-биография",", ",Польша,1975,6.4
История Джоанны,порнофильм,"Джерард Дамиано,[1]",США,1975,5.9
История греха,"исторический фильм,драма",Валериан Боровик,Польша,1975,6.1
"Ильза, волчица СС",ужасы,Дон Эдмондс,"США,[2],Канада,[2],[3]",1975,5.1
"Земля, позабытая временем","приключенческий фильм,фантастика,драма,фэнтези,триллер",Кевин Коннор,"Великобритания,США",1975,5.6
Зорро,"комедия,вестерн,приключения",Дуччо Тессари,"Франция,Италия",1975,6.4
История Адели Г.,"историко,биографическая,драма",Франсуа Трюффо,Франция,1975,7.2
"Жанна Дильман, набережная Коммерции 23, Брюссель 1080","артхаус,драматический фильм",Шанталь Акерман,"Бельгия,Франция",1975,7.5
Звук свирели,драма,Расим Оджагов,"СССР,Азербайджанская ССР",1975,8.2
Звезда пленительного счастья,"историческая,драма",Владимир Мотыль,СССР,1975,7.3
Решающая схватка,,Сергей Шутов,СССР,1978, 
Дюпон Лажуа,"драматический фильм,[1],[2],[…]","Ив Буассе,[2],[3],[…]",Франция,1975,7.3
Единственная…,мелодрама,Иосиф Хейфиц,СССР,1975,6.5
Если мы вместе,Драма,Владимир Симаков,СССР,1975, 
Дьявольский глаз,фильм ужасов,Марио Сичильяно,"Италия,Испания,Мексика",1975,4.7
Долгие вёрсты войны,Драма,Александр Карпов,СССР,1975,7.7
Дорога,"мелодрама,приключенческий фильм",Леонид Попов,СССР,1975,6.0
Дожить до рассвета,"военный фильм, драма, экранизация",",, ",СССР,1975,7.4
Добрые и злые,драма,Клод Лелуш,Франция,1975,6.7
Дневник директора школы,Киноповесть,Борис Фрумин,СССР,1975,7.3
Доверие,историко-революционный фильм,"Виктор Трегубович,Эдвин Лайне","СССР,Финляндия",1975,4.5
